Version, Total, Open, Closed, Commits
12.4, 69, 45, 24, 2473
12.3, 107, 65, 42, 1689
12.2, 121, 71, 50, 1972
12.1, 94, 47, 47, 2101
12.0, 89, 51, 38, 302
11.6, 22, 16, 6, 215
11.5, 1, 0, 1, 74
11.4, 1, 1, 0, 40
11.3, 2, 1, 1, 28
11.2, 0, 0, 0, 0
10.4, 2, 2, 0, 0
